specification,record,subject_id,lead,tau_s,baseline_cv_r2
stb_fixed_120s,s30751,s3075,2,120.0,
stb_fixed_120s,s30761,s3076,1,120.0,
stb_fixed_120s,s30761,s3076,2,120.0,
stb_fixed_120s,s30771,s3077,1,120.0,
stb_fixed_120s,s30771,s3077,2,120.0,
stb_fixed_120s,s30781,s3078,0,120.0,
stb_fixed_120s,s30781,s3078,1,120.0,
stb_fixed_120s,s30781,s3078,2,120.0,
stb_fixed_120s,s30791,s3079,1,120.0,
stb_fixed_120s,s30791,s3079,2,120.0,
stb_fixed_120s,s30801,s3080,2,120.0,
stb_fixed_180s,s20011,s2001,0,180.0,
stb_fixed_180s,s20011,s2001,1,180.0,
stb_fixed_180s,s20031,s2003,0,180.0,
stb_fixed_180s,s20031,s2003,1,180.0,
stb_fixed_180s,s20041,s2004,0,180.0,
stb_fixed_180s,s20041,s2004,1,180.0,
stb_fixed_180s,s20061,s2006,0,180.0,
stb_fixed_180s,s20071,s2007,0,180.0,
stb_fixed_180s,s20071,s2007,1,180.0,
stb_fixed_180s,s20081,s2008,0,180.0,
stb_fixed_180s,s20081,s2008,1,180.0,
stb_fixed_180s,s20091,s2009,0,180.0,
stb_fixed_180s,s20091,s2009,1,180.0,
stb_fixed_180s,s20101,s2010,0,180.0,
stb_fixed_180s,s20101,s2010,1,180.0,
stb_fixed_180s,s20111,s2011,0,180.0,
stb_fixed_180s,s20121,s2012,0,180.0,
stb_fixed_180s,s20131,s2013,0,180.0,
stb_fixed_180s,s20141,s2014,0,180.0,
stb_fixed_180s,s20141,s2014,1,180.0,
stb_fixed_180s,s20151,s2015,0,180.0,
stb_fixed_180s,s20161,s2016,0,180.0,
stb_fixed_180s,s20161,s2016,1,180.0,
stb_fixed_180s,s20171,s2017,0,180.0,
stb_fixed_180s,s20181,s2018,1,180.0,
stb_fixed_180s,s20201,s2020,0,180.0,
stb_fixed_180s,s20211,s2021,0,180.0,
stb_fixed_180s,s20221,s2022,0,180.0,
stb_fixed_180s,s20231,s2023,0,180.0,
stb_fixed_180s,s20231,s2023,1,180.0,
stb_fixed_180s,s20241,s2024,0,180.0,
stb_fixed_180s,s20241,s2024,1,180.0,
stb_fixed_180s,s20251,s2025,1,180.0,
